                                                                   SISTEMA CON DIAGONAL DOMINANTE 
5.00000000000 x1  1.00000000000 x2  = 6.00000000000
2.00000000000 x1  7.00000000000 x2  = 9.00000000000

                                                                   RESULTADO FINAL 

 x1 = 1.00000000000
 x2 = 1.00000000000

                                                                   TABLA DE ITERACIONES 

Iteracion 0: x1=0.00000000000  x2=0.00000000000  Err x1=0.00000000000  Err x2=0.00000000000  ErrF x1=1.00000000000  ErrF x2=1.00000000000  
Iteracion 1: x1=1.20000000000  x2=1.28571428571  Err x1=1.00000000000  Err x2=1.00000000000  ErrF x1=0.20000000000  ErrF x2=0.28571428571  
Iteracion 2: x1=0.94285714286  x2=0.94285714286  Err x1=0.27272727273  Err x2=0.36363636364  ErrF x1=0.05714285714  ErrF x2=0.05714285714  
Iteracion 3: x1=1.01142857143  x2=1.01632653061  Err x1=0.06779661017  Err x2=0.07228915663  ErrF x1=0.01142857143  ErrF x2=0.01632653061  
Iteracion 4: x1=0.99673469388  x2=0.99673469388  Err x1=0.01474201474  Err x2=0.01965601966  ErrF x1=0.00326530612  ErrF x2=0.00326530612  
Iteracion 5: x1=1.00065306122  x2=1.00093294461  Err x1=0.00391581008  Err x2=0.00419433764  ErrF x1=0.00065306122  ErrF x2=0.00093294460  
Iteracion 6: x1=0.99981341108  x2=0.99981341108  Err x1=0.00083980684  Err x2=0.00111974246  ErrF x1=0.00018658892  ErrF x2=0.00018658892  
Iteracion 7: x1=1.00003731778  x2=1.00005331112  Err x1=0.00022389835  Err x2=0.00023988725  ErrF x1=0.00003731778  ErrF x2=0.00005331112  
Iteracion 8: x1=0.99998933778  x2=0.99998933778  Err x1=0.00004798052  Err x2=0.00006397403  ErrF x1=0.00001066223  ErrF x2=0.00001066223  
Iteracion 9: x1=1.00000213244  x2=1.00000304635  Err x1=0.00001279464  Err x2=0.00001370853  ErrF x1=0.00000213244  ErrF x2=0.00000304635  
Iteracion 10: x1=0.99999939073  x2=0.99999939073  Err x1=0.00000274172  Err x2=0.00000365562  ErrF x1=0.00000060927  ErrF x2=0.00000060927  
Iteracion 11: x1=1.00000012185  x2=1.00000017408  Err x1=0.00000073112  Err x2=0.00000078335  ErrF x1=0.00000012185  ErrF x2=0.00000017408  
Iteracion 12: x1=0.99999996518  x2=0.99999996518  Err x1=0.00000015667  Err x2=0.00000020889  ErrF x1=0.00000003482  ErrF x2=0.00000003482  
Iteracion 13: x1=1.00000000696  x2=1.00000000995  Err x1=0.00000004178  Err x2=0.00000004476  ErrF x1=0.00000000696  ErrF x2=0.00000000995  
Iteracion 14: x1=0.99999999801  x2=0.99999999801  Err x1=0.00000000895  Err x2=0.00000001194  ErrF x1=0.00000000199  ErrF x2=0.00000000199  
Iteracion 15: x1=1.00000000040  x2=1.00000000057  Err x1=0.00000000239  Err x2=0.00000000256  ErrF x1=0.00000000040  ErrF x2=0.00000000057  
Iteracion 16: x1=0.99999999989  x2=0.99999999989  Err x1=0.00000000051  Err x2=0.00000000068  ErrF x1=0.00000000011  ErrF x2=0.00000000012  
Iteracion 17: x1=1.00000000002  x2=1.00000000003  Err x1=0.00000000014  Err x2=0.00000000015  ErrF x1=0.00000000002  ErrF x2=0.00000000003  
Iteracion 18: x1=0.99999999999  x2=0.99999999999  Err x1=0.00000000003  Err x2=0.00000000004  ErrF x1=0.00000000001  ErrF x2=0.00000000001  
Iteracion 19: x1=1.00000000000  x2=1.00000000000  Err x1=0.00000000001  Err x2=0.00000000001  ErrF x1=0.00000000000  ErrF x2=0.00000000000  
